Name,Rating,Reviews,Type,Salaries,Interviews,Jobs,Benefits
PolicyBazaar,3.6,3.8k,Internet | Gurgaon / Gurugram +116 other locations,14.8k,361,146,264
Nagarjuna Construction Company,4.1,3.8k,Engineering & Construction | Hyderabad / Secunderabad +253 other locations,10.8k,306,10,429
Piramal Capital Housing Finance,4.2,3.8k,NBFC | Mumbai +360 other locations,9.1k,185,6,273
KEC International,4.0,3.7k,Engineering & Construction | Mumbai +280 other locations,12.1k,302,3,459
Aditya Birla Fashion and Retail,4.1,3.7k,Fashion & Textile | Bangalore / Bengaluru +251 other locations,12.7k,197,13,403
Hyundai Motor India Limited,4.3,3.6k,Automobile | Chennai +269 other locations,12.8k,260,13,554
Varun Beverages,4.0,3.6k,Beverage | New Delhi +322 other locations,11k,229,96,342
CARS24,3.5,3.6k,Internet | Gurgaon / Gurugram +162 other locations,14.1k,335,129,435
Randstad,3.8,3.6k,Recruitment | Hyderabad / Secunderabad +299 other locations,15.2k,263,91,347
Oyo Rooms,3.3,3.6k,Hospitality | Gurgaon / Gurugram +120 other locations,20.4k,220,61,397
Bajaj Auto,3.9,3.5k,Automobile | Pune +282 other locations,13.6k,269,116,560
EY Global Delivery Services ( EY GDS),3.5,3.5k,Accounting & Auditing | Bangalore / Bengaluru +46 other locations,32.8k,755,7,186
Deutsche Bank,3.9,3.5k,Banking | Pune +40 other locations,31k,364,1.1k,433
Reliance Communications,4.0,3.5k,Telecom | Mumbai +445 other locations,10.9k,92,--,382
L&T Finance,3.9,3.5k,NBFC | Mumbai +527 other locations,11.2k,152,7,277
Intas Pharmaceuticals,4.1,3.5k,Pharma | Ahmedabad +131 other locations,16.1k,212,31,433
ITC Infotech,3.6,3.5k,IT Services & Consulting | Bangalore / Bengaluru +59 other locations,28k,336,81,324
Team Lease,3.9,3.4k,Recruitment | Bangalore / Bengaluru +350 other locations,15.3k,201,1,226
Tata Communications,4.0,3.4k,Telecom | Pune +95 other locations,22.9k,252,42,453
R1 RCM,3.9,3.4k,BPO | New Delhi +38 other locations,18.8k,282,117,395
Havells,4.0,3.4k,Electrical Equipment | Noida +209 other locations,12.8k,210,25,340
Access Healthcare,3.9,3.4k,Analytics & KPO | Chennai +42 other locations,21.5k,209,85,298
John Deere,4.1,3.4k,Industrial Machinery | Pune +128 other locations,14.8k,231,25,446
Royal Enfield,4.2,3.4k,Automobile | Chennai +337 other locations,13.6k,153,4,417
Hetero,3.8,3.4k,Pharma | Hyderabad / Secunderabad +54 other locations,14.4k,227,33,363
Thermax Limited,4.1,3.4k,Industrial Machinery | Pune +212 other locations,12.2k,252,43,398
LG Electronics,4.0,3.4k,Consumer Electronics & Appliances | Pune +273 other locations,10.5k,199,--,434
